Candidate_Name,Candidate_Class,Supporting_Signatures,Libraries,Library_Count,Best_Adjusted_P,Max_MinusLog10AdjP,Mean_MinusLog10AdjP,Max_Combined_Score,Mean_Combined_Score,Max_Overlap_Count,Total_Overlap_Count,Max_Anchor_Hit_Count,Max_Core8_Hit_Count,Anchor_Hits,Core8_Hits,Top_Term,Score_Significance,Score_Combined,Score_Overlap,Score_Reproducibility,Score_Library,Score_Anchor,Score_Core8,Raw_Priority_Score,Priority_Score_100
Etanercept,Biologic_or_immunomodulator,6,GEO drug perturbations (down),1,1.6641807062930498e-30,29.778799517297173,8.261088584096855,1515.51888688684,314.08362141247676,39,99,2,3,;GBP1;STAT1,;GBP1;IFI6;IFIT2;IFIT3;STAT1,Etanercept DB00005 human GSE36177 sample 2597,1,1,1,1,1,1,0.42857142857142855,0.942857142857143,94.29
Alfacalcidol,Candidate_drug_or_compound,2,GEO drug perturbations (down),1,2.7006527554217897e-19,18.56853125294656,15.333434085962018,737.814662964476,543.876771282141,28,50,1,6,STAT1,IFI35;IFI6;IFIT3;IRF7;PARP9;STAT1,alfacalcidol 5282181 human GSE15947 sample 3364,0.6060887697176232,0.48070462960981836,0.6764705882352942,0.2,1,1,0.8571428571428571,0.5888832237814403,58.89
Adenosine Triphosphate,Candidate_drug_or_compound,3,GEO drug perturbations (down),1,1.32724069277675e-14,13.877050311449132,7.713227235862427,433.615363169623,200.58894351721864,24,51,2,6,GBP1;STAT1,GBP1;IFI35;IFI6;IFIT2;IFIT3;IRF7;STAT1,adenosine triphosphate 5957 human GSE30903 sample 3219,0.4412374935542844,0.2775820500992153,0.5588235294117647,0.4,1,1,0.8571428571428571,0.5092427010394253,50.92
Cigarette Smoke,Exposure_or_toxicant,1,GEO drug perturbations (down),1,1.17747039271887e-17,16.929050004318366,16.929050004318366,644.88972141184,644.88972141184,26,26,2,3,GBP1;STAT1,GBP1;IFIT3;STAT1,Cigarette Smoke 57288536 human GSE8823 sample 2478,0.5484799721007332,0.4186559863625376,0.6176470588235294,0,1,1,0.42857142857142855,0.47728819129648997,47.73
Nitric Oxide,Exposure_or_toxicant,1,GEO drug perturbations (down),1,5.91130162536919e-15,14.228316880121358,14.228316880121358,390.403763521084,390.403763521084,27,27,2,6,GBP1;STAT1,GBP1;IFI35;IFIT2;IFIT3;PARP9;STAT1,nitric oxide 145068 human GSE13887 sample 3181,0.45358044940153774,0.248728428176647,0.6470588235294118,0,1,1,0.8571428571428571,0.45835032863824365,45.84
Plx4720 Cid,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,4.31460295642191e-13,12.365059163278726,12.365059163278726,401.946923188834,401.946923188834,21,21,1,7,STAT1,IFI35;IFI6;IFIT2;IFIT3;IRF7;PARP9;STAT1,PLX4720 CID 24180719 human GSE50791 sample 2507,0.38810849794889957,0.25643612628442486,0.47058823529411764,0,1,1,1,0.4317243913524487,43.17
Methotrexate,Candidate_drug_or_compound,2,GEO drug perturbations (down),1,3.4269368549411797e-12,11.465093897847128,6.986874217731871,328.027783145877,184.34017468606808,21,30,1,5,;GBP1,GBP1;IFI35;IFI6;IFIT2;IFIT3,methotrexate DB00563 human GSE41831 sample 2601,0.35648513117855024,0.2070782007045285,0.47058823529411764,0.2,1,1,0.7142857142857143,0.41290763969345873,41.29
Arachidonic Acid,Candidate_drug_or_compound,1,GEO drug perturbations (down),1,1.8753000249075698e-11,10.726929240609273,10.726929240609273,387.650052359375,387.650052359375,17,17,1,6,STAT1,IFI35;IFI6;IFIT2;IFIT3;IRF7;STAT1,Arachidonic acid DB04557 human GSE3737 sample 3171,0.33054718380505127,0.24688969641503325,0.35294117647058826,0,1,1,0.8571428571428571,0.3830146822398951,38.3
"1,25 Dihydroxyvitamin D",Candidate_drug_or_compound,1,GEO drug perturbations (down),1,1.58447180927643e-11,10.800115483317859,10.800115483317859,330.178461848352,330.178461848352,19,19,1,6,STAT1,IFI35;IFI6;IFIT3;IRF7;PARP9;STAT1,"1,25 dihydroxyvitamin D 5280453 human GSE15947 sample 2493",0.3331188334948951,0.20851427043263063,0.4117647058823529,0,1,1,0.8571428571428571,0.3828872675785201,38.29
Curcumin,Candidate_drug_or_compound,3,GEO drug perturbations (down),1,3.53284502757733e-9,8.451875412988072,6.143411560174279,201.336065390621,146.18143418333557,18,43,2,5,GBP1;STAT1,GBP1;IFI35;IFI6;IFIT2;IFIT3;STAT1,curcumin 969516 human GSE10896 sample 3407,0.2506053634075167,0.12248251448686992,0.38235294117647056,0.4,1,1,0.7142857142857143,0.38205348207863865,38.21
